index,ph,soil_type,previous_crop,area_ha,weather,month,district
51,7.82,sandy,Ladyfinger,0.99,937mm/20.7C,Jul,Sangli
52,7.29,black,Carrot,3.59,543mm/30.6C,Jul,Buldhana
53,7.74,black,Beetroot,2.77,702mm/27.0C,Feb,Nagpur
54,7.62,clay,Radish,3.25,151mm/25.0C,Dec,Solapur
55,6.81,sandy,Cucumber,1.14,153mm/18.7C,Mar,Buldhana
56,7.69,red,Bitter Gourd,1.22,576mm/15.3C,Dec,Yavatmal
57,5.44,clay,Coriander,0.4,659mm/34.5C,Jun,Gadchiroli
58,5.73,black,Cucumber,1.75,452mm/25.1C,Mar,Yavatmal
59,5.32,alluvial,Coriander,2.89,403mm/26.5C,Feb,Latur
60,6.08,black,Tomato,4.32,815mm/32.5C,Apr,Gadchiroli
61,6.25,black,Bottle Gourd,3.4,425mm/29.8C,May,Yavatmal
62,5.93,sandy,Ridge Gourd,2.29,798mm/24.2C,Nov,Pune
63,7.44,sandy,Bottle Gourd,4.77,743mm/26.8C,Oct,Solapur
64,6.16,clay,Fenugreek Leaves,3.65,90mm/27.4C,Sep,Nashik
65,5.96,red,Green Peas,4.66,1118mm/15.8C,Mar,Jalgaon
66,6.67,clay,Cabbage,2.73,490mm/16.8C,Mar,Parbhani
67,5.58,loam,Green Peas,1.44,1155mm/30.1C,Jun,Jalgaon
68,7.37,black,Bitter Gourd,0.45,656mm/17.5C,May,Aurangabad
69,5.4,alluvial,Bitter Gourd,3.69,1068mm/15.9C,Jun,Hingoli
70,7.86,black,Fenugreek Leaves,0.78,822mm/32.8C,Jul,Akola
71,7.29,black,Cucumber,1.65,283mm/19.0C,Nov,Akola
72,5.74,clay,Spring Onion,2.76,1019mm/34.9C,Mar,Gadchiroli
73,5.21,alluvial,Green Chilies,2.91,1157mm/20.2C,May,Kolhapur
74,7.4,alluvial,Spring Onion,3.08,1134mm/24.7C,Aug,Chandrapur
75,7.11,alluvial,Ladyfinger,1.0,184mm/19.9C,Apr,Ahmednagar
76,7.17,clay,Tomato,2.02,332mm/23.3C,Oct,Ahmednagar
77,7.28,black,Beans,3.16,628mm/33.4C,Feb,Yavatmal
78,5.4,clay,Tomato,4.86,378mm/18.8C,Apr,Ahmednagar
79,6.17,sandy,Green Chilies,3.69,180mm/33.2C,Feb,Solapur
80,5.51,sandy,Cucumber,4.63,915mm/21.5C,Mar,Osmana bad
81,7.53,clay,Coriander,3.86,953mm/29.0C,Apr,Osmana bad
82,6.88,alluvial,Bitter Gourd,3.04,526mm/30.5C,Apr,Akola
83,6.09,black,Green Chilies,1.12,521mm/16.6C,Oct,Sangli
84,5.37,clay,Ridge Gourd,3.4,752mm/16.4C,Sep,Hingoli
85,6.04,clay,Beetroot,3.19,1088mm/24.6C,Oct,Parbhani
86,6.08,clay,Pumpkin,3.09,1089mm/33.9C,Jun,Wardha
87,7.17,loam,Cucumber,2.55,918mm/33.2C,Sep,Nanded
88,6.92,sandy,Ridge Gourd,2.74,917mm/25.5C,Apr,Nanded
89,7.6,alluvial,Beans,1.81,165mm/29.8C,Sep,Pune
90,6.47,red,Green Peas,2.69,392mm/18.9C,Nov,Satara
91,5.52,alluvial,Beans,1.15,984mm/17.5C,Sep,Aurangabad
92,7.13,red,Bottle Gourd,4.06,210mm/28.1C,Jun,Gondia
93,7.25,loam,Cucumber,1.09,868mm/30.5C,May,Gadchiroli
94,6.72,clay,Beetroot,0.61,259mm/15.9C,Mar,Wardha
95,7.28,loam,Spinach,2.29,1199mm/19.4C,May,Gondia
96,6.53,loam,Beans,3.36,444mm/16.5C,Mar,Kolhapur
97,6.61,black,Brinjal,2.3,879mm/30.4C,May,Amravati
98,6.35,sandy,Tomato,1.53,491mm/34.2C,May,Nashik
99,5.27,red,Cucumber,2.88,197mm/31.4C,Feb,Wardha
100,5.49,clay,Pumpkin,1.87,670mm/31.5C,Sep,Pune
101,5.28,red,Spring Onion,4.68,186mm/21.4C,Jul,Nanded
102,6.92,alluvial,Ladyfinger,4.63,469mm/21.3C,Jun,Pune
103,6.05,red,Brinjal,2.61,948mm/29.7C,May,Nanded
104,6.57,alluvial,Cabbage,1.77,1013mm/23.2C,Apr,Chandrapur
105,7.65,sandy,Coriander,3.74,683mm/25.0C,Aug,Sangli
106,5.87,alluvial,Bottle Gourd,0.38,1176mm/27.2C,Feb,Nanded
107,6.31,red,Coriander,2.48,939mm/20.5C,Aug,Kolhapur
108,7.24,red,Bitter Gourd,1.81,92mm/31.4C,Jan,Solapur
109,5.82,alluvial,Pumpkin,4.62,1154mm/22.6C,Oct,Ahmednagar
110,5.41,loam,Bottle Gourd,0.26,201mm/16.9C,Jan,Amravati
111,5.98,sandy,Radish,2.85,617mm/34.2C,Mar,Gadchiroli
112,5.64,black,Coriander,3.76,455mm/24.1C,May,Amravati
113,7.71,clay,Spring Onion,2.53,435mm/25.0C,Jun,Hingoli
114,7.38,red,Brinjal,0.61,1147mm/17.7C,Apr,Parbhani
115,6.91,clay,Carrot,4.87,202mm/30.4C,Jul,Aurangabad
116,7.55,black,Brinjal,2.69,409mm/24.6C,Jul,Satara
117,7.37,clay,Pumpkin,3.15,402mm/26.9C,Feb,Kolhapur
118,5.7,black,Coriander,1.34,1192mm/25.0C,Feb,Kolhapur
119,7.61,alluvial,Cucumber,2.52,873mm/33.3C,Feb,Hingoli
120,6.66,loam,Ridge Gourd,2.26,618mm/24.7C,Feb,Beed
121,7.38,red,Beetroot,0.56,336mm/18.5C,Sep,Satara
122,7.62,black,Radish,0.71,950mm/32.7C,May,Satara
123,6.06,clay,Fenugreek Leaves,4.22,888mm/19.5C,Nov,Pune
124,5.5,red,Bitter Gourd,1.35,350mm/33.6C,Aug,Hingoli
125,5.82,loam,Brinjal,1.14,647mm/27.7C,May,Kolhapur
126,6.35,alluvial,Coriander,2.62,438mm/25.4C,Nov,Gondia
127,7.41,red,Coriander,3.89,877mm/24.8C,May,Satara
128,7.52,black,Pumpkin,0.5,290mm/22.7C,Jan,Amravati
129,5.22,loam,Green Chilies,2.97,822mm/24.1C,Jun,Nanded
130,6.58,clay,Cabbage,0.77,1126mm/20.3C,Apr,Nanded
131,6.33,loam,Carrot,0.38,375mm/32.1C,Mar,Hingoli
132,5.8,loam,Fenugreek Leaves,0.45,760mm/27.2C,Jun,Sangli
133,5.52,sandy,Carrot,4.2,282mm/17.1C,Feb,Nagpur
134,6.11,loam,Brinjal,0.77,323mm/15.2C,Aug,Wardha
135,7.75,loam,Spinach,0.42,1150mm/33.9C,Jan,Chandrapur
136,6.07,red,Cabbage,2.3,1116mm/17.6C,Dec,Amravati
137,6.6,clay,Brinjal,4.25,444mm/34.4C,Sep,Solapur
138,7.1,red,Spring Onion,1.46,152mm/25.9C,Aug,Nashik
139,6.18,red,Pumpkin,2.22,1149mm/21.9C,Jan,Wardha
140,7.82,black,Carrot,0.39,287mm/16.5C,Oct,Wardha
141,7.8,red,Brinjal,2.36,203mm/20.7C,Dec,Osmana bad
142,5.88,sandy,Ridge Gourd,2.97,622mm/22.4C,Sep,Sangli
143,6.54,sandy,Spinach,2.94,978mm/28.9C,Feb,Latur
144,6.01,black,Green Chilies,1.8,861mm/28.2C,Mar,Jalgaon
145,5.97,alluvial,Green Chilies,1.71,990mm/34.4C,Feb,Yavatmal
146,5.3,clay,Carrot,0.71,911mm/15.4C,Aug,Buldhana
147,6.85,clay,Ladyfinger,1.96,705mm/28.9C,Feb,Pune
148,6.56,red,Beetroot,0.68,1077mm/16.1C,Oct,Ahmednagar
149,5.34,red,Fenugreek Leaves,3.88,246mm/32.3C,Feb,Buldhana
150,5.95,alluvial,Radish,4.84,1168mm/31.2C,Jan,Ahmednagar
151,7.65,red,Cabbage,4.86,826mm/20.3C,Jul,Yavatmal
152,5.85,clay,Spring Onion,4.35,474mm/21.4C,Dec,Pune
153,5.59,loam,Cucumber,3.08,702mm/34.7C,Feb,Osmana bad
154,6.52,sandy,Ridge Gourd,3.56,612mm/23.9C,Oct,Nashik
155,7.86,loam,Brinjal,1.57,218mm/21.5C,May,Amravati
156,5.85,loam,Brinjal,3.23,464mm/28.4C,May,Akola
157,7.01,clay,Beetroot,2.39,284mm/21.5C,Mar,Satara
158,7.26,loam,Beetroot,2.51,1061mm/16.6C,Mar,Amravati
159,5.84,alluvial,Brinjal,3.84,938mm/22.7C,Dec,Satara
160,7.17,black,Ladyfinger,1.55,1053mm/23.9C,Mar,Amravati
161,6.19,red,Green Chilies,1.73,404mm/17.5C,Jun,Sangli
162,6.91,black,Cauliflower,4.64,367mm/27.8C,Apr,Parbhani
163,6.91,sandy,Cauliflower,0.47,1046mm/15.6C,Mar,Wardha
164,6.65,red,Cabbage,2.53,793mm/32.5C,Feb,Aurangabad
165,5.44,loam,Carrot,4.58,1005mm/23.6C,Mar,Gondia
166,7.46,sandy,Tomato,3.13,336mm/34.9C,Apr,Gadchiroli
167,6.07,red,Green Peas,2.82,117mm/16.0C,Jun,Beed
168,5.7,alluvial,Fenugreek Leaves,1.4,540mm/17.8C,Apr,Aurangabad
169,5.31,alluvial,Tomato,1.85,436mm/19.2C,Aug,Jalgaon
170,6.8,alluvial,Bitter Gourd,4.29,648mm/25.9C,Mar,Jalgaon
171,7.03,alluvial,Beans,2.88,512mm/34.0C,Dec,Ahmednagar
172,5.24,loam,Ladyfinger,2.67,656mm/21.8C,Mar,Amravati
173,6.58,black,Beetroot,0.68,981mm/17.1C,Mar,Nagpur
174,5.81,red,Bitter Gourd,0.28,872mm/27.9C,Aug,Satara
175,6.94,loam,Radish,4.83,569mm/34.6C,Apr,Aurangabad
176,5.67,alluvial,Ridge Gourd,2.01,128mm/28.1C,Jan,Latur
177,7.07,black,Ridge Gourd,3.1,492mm/34.3C,Feb,Solapur
178,6.24,sandy,Beetroot,0.58,499mm/22.5C,Oct,Aurangabad
179,7.73,sandy,Spring Onion,3.48,923mm/16.4C,Feb,Akola
180,5.57,sandy,Beetroot,4.68,513mm/31.7C,Mar,Jalgaon
181,6.12,alluvial,Pumpkin,2.96,136mm/24.6C,Jun,Akola
182,5.51,sandy,Tomato,0.81,1056mm/15.6C,Aug,Sangli
183,7.7,clay,Brinjal,2.99,125mm/23.8C,Dec,Aurangabad
184,7.57,red,Bitter Gourd,3.88,496mm/21.1C,Jan,Osmana bad
185,5.9,red,Ladyfinger,2.15,326mm/15.1C,Sep,Ahmednagar
186,6.98,alluvial,Beans,4.42,871mm/34.8C,Jan,Pune
187,7.41,clay,Spring Onion,3.31,453mm/27.1C,Oct,Solapur
188,6.7,loam,Cucumber,4.52,817mm/23.9C,Feb,Pune
189,6.63,loam,Coriander,3.19,1191mm/32.4C,Mar,Wardha
190,5.85,sandy,Bottle Gourd,0.83,680mm/23.1C,Jul,Satara
191,5.45,black,Bottle Gourd,1.69,618mm/29.9C,Sep,Nashik
192,7.62,loam,Spinach,1.17,140mm/29.8C,Mar,Pune
193,7.63,black,Green Chilies,4.56,91mm/26.5C,Aug,Pune
194,6.91,red,Radish,3.85,111mm/26.1C,Sep,Solapur
195,6.12,black,Cucumber,3.45,316mm/16.1C,Oct,Gondia
196,6.14,red,Spinach,1.64,637mm/34.9C,Jul,Hingoli
197,7.16,clay,Fenugreek Leaves,1.08,1183mm/16.0C,Apr,Pune
198,7.62,clay,Brinjal,3.83,1066mm/18.9C,Apr,Akola
199,7.6,alluvial,Beans,2.48,552mm/25.7C,Apr,Gadchiroli
200,7.31,alluvial,Ladyfinger,1.28,191mm/25.2C,Jun,Gadchiroli
201,6.93,sandy,Beans,3.16,462mm/23.5C,Apr,Jalgaon
202,5.43,loam,Brinjal,0.39,1005mm/17.5C,May,Aurangabad
203,5.64,sandy,Spring Onion,1.77,196mm/29.1C,Sep,Nanded
204,7.63,red,Beans,2.45,194mm/26.1C,Dec,Nanded
205,6.84,sandy,Beans,0.91,893mm/15.8C,Jul,Parbhani
206,5.22,black,Radish,4.93,723mm/18.2C,Aug,Parbhani
207,5.47,red,Spring Onion,1.2,1001mm/16.5C,May,Amravati
208,6.99,alluvial,Spring Onion,0.83,226mm/34.7C,May,Gondia
209,5.21,clay,Pumpkin,1.18,764mm/29.3C,Nov,Buldhana
210,5.63,alluvial,Ridge Gourd,3.89,454mm/32.5C,Jul,Latur
211,6.68,loam,Brinjal,2.24,583mm/20.4C,Nov,Nashik
212,7.07,red,Green Peas,2.91,947mm/22.8C,Dec,Nanded
213,6.96,red,Pumpkin,0.3,759mm/22.5C,Aug,Chandrapur
214,5.81,black,Bottle Gourd,0.37,540mm/25.3C,Sep,Chandrapur
215,7.12,loam,Bitter Gourd,2.34,543mm/33.0C,Feb,Parbhani
216,5.84,clay,Pumpkin,4.12,1105mm/25.4C,Mar,Pune
217,6.08,red,Cauliflower,4.45,151mm/17.0C,Dec,Pune
218,7.22,red,Coriander,0.62,416mm/16.6C,Dec,Latur
219,6.95,black,Carrot,2.78,274mm/22.3C,Feb,Yavatmal
220,7.49,sandy,Spring Onion,4.58,732mm/26.8C,Oct,Buldhana
221,6.98,clay,Green Chilies,2.06,984mm/28.7C,Jul,Nagpur
222,6.73,alluvial,Cabbage,4.18,645mm/18.5C,Dec,Amravati
223,5.45,loam,Radish,0.84,652mm/26.2C,Feb,Satara
224,6.19,red,Bitter Gourd,4.69,321mm/21.5C,Dec,Gadchiroli
225,5.92,red,Beans,3.81,1183mm/15.5C,Feb,Gadchiroli
226,5.86,alluvial,Bitter Gourd,4.72,845mm/23.5C,Feb,Sangli
227,7.83,clay,Ridge Gourd,3.45,975mm/16.6C,Dec,Gondia
228,6.26,sandy,Spring Onion,1.94,767mm/31.2C,Apr,Chandrapur
229,7.61,red,Green Peas,4.7,126mm/26.2C,Jan,Beed
230,6.9,clay,Ladyfinger,1.52,698mm/31.3C,Feb,Ahmednagar
231,7.35,alluvial,Radish,1.79,202mm/15.4C,Mar,Osmana bad
232,6.56,black,Radish,3.56,920mm/16.3C,Jul,Jalgaon
233,6.76,sandy,Cabbage,3.87,686mm/18.0C,Oct,Pune
234,6.53,loam,Carrot,4.66,645mm/23.1C,Jan,Solapur
235,5.73,red,Ridge Gourd,1.18,1044mm/26.7C,Jun,Osmana bad
236,7.15,clay,Brinjal,4.03,1162mm/28.4C,Mar,Sangli
237,5.96,black,Spinach,3.75,905mm/21.7C,Mar,Beed
238,5.27,loam,Beetroot,0.51,736mm/16.8C,Apr,Osmana bad
239,6.94,clay,Green Peas,2.06,390mm/22.1C,Apr,Nanded
240,5.68,clay,Ladyfinger,1.56,336mm/31.5C,Jul,Akola
241,7.74,loam,Spinach,1.66,131mm/25.9C,Mar,Wardha
242,7.78,black,Spring Onion,4.92,1170mm/18.6C,Aug,Nagpur
243,7.67,alluvial,Beetroot,3.29,379mm/17.3C,Aug,Buldhana
244,6.2,black,Cucumber,3.64,911mm/18.9C,Nov,Nashik
245,5.24,sandy,Cabbage,4.89,1171mm/22.8C,Jul,Aurangabad
246,7.71,red,Spring Onion,2.01,1154mm/26.1C,Feb,Chandrapur
247,6.36,loam,Bitter Gourd,4.05,670mm/17.0C,May,Gadchiroli
248,7.81,alluvial,Green Chilies,2.29,665mm/28.3C,Jun,Solapur
249,7.8,loam,Spring Onion,4.37,263mm/29.1C,Dec,Parbhani
250,7.5,loam,Coriander,1.07,208mm/24.2C,Oct,Aurangabad
251,6.0,black,Green Chilies,4.75,580mm/23.6C,Apr,Latur
252,6.24,red,Beans,1.25,571mm/31.9C,Oct,Ahmednagar
253,7.5,sandy,Beans,1.77,1170mm/19.2C,May,Gadchiroli
254,6.06,clay,Beans,3.83,364mm/15.1C,Sep,Jalgaon
255,5.66,clay,Ladyfinger,2.09,268mm/33.2C,Nov,Nashik
256,6.7,loam,Beans,3.12,467mm/24.0C,Jul,Amravati
257,7.73,red,Brinjal,2.33,496mm/21.8C,Feb,Beed
258,7.08,alluvial,Ridge Gourd,3.76,466mm/31.8C,Nov,Latur
259,6.74,black,Beans,1.3,742mm/18.4C,Jan,Gondia
260,5.46,red,Cabbage,0.48,292mm/32.9C,Feb,Latur
261,6.86,red,Green Peas,1.64,373mm/27.1C,Mar,Latur
262,7.87,black,Radish,2.48,620mm/35.0C,Nov,Nashik
263,5.58,loam,Fenugreek Leaves,1.01,530mm/23.1C,Feb,Osmana bad
264,6.6,red,Bottle Gourd,1.9,1164mm/21.4C,Nov,Buldhana
265,7.57,clay,Fenugreek Leaves,2.12,869mm/22.3C,Mar,Amravati
266,7.2,black,Green Chilies,0.48,970mm/22.4C,Oct,Yavatmal
267,7.08,alluvial,Fenugreek Leaves,3.0,223mm/26.1C,Nov,Wardha
268,7.1,sandy,Beetroot,4.44,1077mm/31.7C,Nov,Wardha
269,6.17,loam,Cucumber,0.93,134mm/31.7C,Dec,Parbhani
270,5.99,black,Spinach,3.07,876mm/21.7C,Dec,Osmana bad
271,7.39,sandy,Brinjal,3.39,159mm/15.4C,Sep,Kolhapur
272,7.39,sandy,Ridge Gourd,2.21,637mm/29.0C,Apr,Osmana bad
273,7.54,alluvial,Green Chilies,3.57,551mm/15.3C,Dec,Akola
274,7.67,red,Cucumber,2.17,668mm/23.9C,Sep,Buldhana
275,6.58,alluvial,Cabbage,2.62,643mm/17.8C,Nov,Buldhana
276,6.55,red,Beans,0.24,546mm/24.9C,Mar,Ahmednagar
277,7.36,red,Ridge Gourd,3.52,1071mm/20.0C,Dec,Parbhani
278,6.95,black,Coriander,3.37,1073mm/23.4C,Jan,Nagpur
279,7.1,black,Ladyfinger,0.38,146mm/32.7C,Nov,Chandrapur
280,7.35,loam,Pumpkin,1.97,782mm/22.9C,May,Sangli
281,7.6,red,Radish,4.9,742mm/26.4C,Oct,Aurangabad
282,6.11,sandy,Tomato,2.22,391mm/27.1C,Oct,Kolhapur
283,6.21,clay,Cabbage,2.61,1044mm/32.3C,Feb,Gondia
284,5.45,loam,Cabbage,4.57,535mm/23.1C,Apr,Satara
285,6.76,black,Spinach,3.64,211mm/31.7C,Feb,Gadchiroli
286,5.3,alluvial,Cauliflower,2.99,1008mm/20.5C,Feb,Latur
287,6.46,loam,Bottle Gourd,4.03,713mm/33.9C,Mar,Solapur
288,6.67,loam,Pumpkin,4.35,851mm/20.1C,May,Gadchiroli
289,5.97,loam,Beetroot,2.39,591mm/27.1C,Apr,Jalgaon
290,6.8,loam,Carrot,2.48,368mm/18.7C,Feb,Kolhapur
291,5.28,clay,Ladyfinger,2.05,607mm/34.9C,Nov,Akola
292,5.3,alluvial,Beans,4.84,1190mm/24.8C,Oct,Buldhana
293,7.42,alluvial,Radish,3.55,878mm/20.7C,Feb,Kolhapur
294,6.17,alluvial,Bitter Gourd,0.6,91mm/30.0C,Jun,Nashik
295,5.54,red,Cabbage,4.34,920mm/16.1C,Jul,Nanded
296,6.61,sandy,Bitter Gourd,2.51,185mm/26.2C,Dec,Latur
297,7.28,alluvial,Bitter Gourd,0.53,925mm/30.8C,Oct,Kolhapur
298,5.78,loam,Green Peas,2.84,560mm/20.5C,Jun,Nanded
299,6.88,loam,Bottle Gourd,2.2,977mm/20.2C,Jul,Buldhana
300,5.43,alluvial,Radish,4.41,718mm/22.7C,Jan,Yavatmal
301,5.34,alluvial,Cauliflower,1.18,894mm/18.0C,Jun,Satara
302,6.63,loam,Beans,4.17,496mm/31.8C,Nov,Gondia
303,6.66,red,Spring Onion,2.88,164mm/30.8C,Mar,Nagpur
304,6.92,black,Beetroot,0.46,547mm/31.5C,Jan,Gadchiroli
305,7.16,black,Bottle Gourd,4.86,1076mm/22.9C,Aug,Satara
306,7.83,alluvial,Pumpkin,2.66,552mm/32.5C,Apr,Nanded
307,6.59,clay,Cauliflower,1.6,354mm/26.8C,Oct,Satara
308,6.07,alluvial,Ladyfinger,2.45,569mm/34.2C,Aug,Aurangabad
309,7.35,alluvial,Ladyfinger,4.32,608mm/30.6C,Oct,Wardha
310,5.93,black,Cucumber,1.66,565mm/33.8C,Nov,Nanded
311,6.39,loam,Carrot,1.12,1187mm/29.1C,Apr,Yavatmal
312,5.41,alluvial,Green Peas,0.82,386mm/26.5C,Apr,Gondia
313,5.27,loam,Coriander,1.63,519mm/28.2C,Dec,Nanded
314,7.8,loam,Pumpkin,3.94,343mm/25.6C,Oct,Pune
315,7.46,clay,Beetroot,2.46,500mm/24.0C,Apr,Chandrapur
316,7.08,loam,Pumpkin,1.29,1072mm/25.9C,Jun,Buldhana
317,6.3,black,Green Peas,1.0,83mm/25.6C,Sep,Yavatmal
318,5.67,red,Fenugreek Leaves,1.8,1065mm/31.4C,May,Gadchiroli
319,5.62,red,Beans,4.71,1140mm/17.3C,Dec,Parbhani
320,5.88,sandy,Bottle Gourd,1.85,1134mm/25.0C,Oct,Pune
321,6.68,alluvial,Bottle Gourd,4.94,1114mm/33.4C,Aug,Solapur
322,7.13,black,Radish,2.53,245mm/29.7C,Aug,Wardha
323,6.98,loam,Radish,1.06,1122mm/34.0C,Apr,Pune
324,5.96,red,Green Chilies,4.48,624mm/29.9C,Nov,Osmana bad
325,7.78,black,Cucumber,2.41,271mm/23.2C,Oct,Solapur
326,7.19,red,Carrot,3.61,659mm/26.6C,Sep,Nagpur
327,6.7,loam,Bottle Gourd,4.92,716mm/24.8C,Sep,Solapur
328,6.85,red,Ridge Gourd,0.44,1162mm/29.1C,May,Wardha
329,6.33,alluvial,Fenugreek Leaves,0.66,575mm/22.4C,Jun,Hingoli
330,5.87,alluvial,Green Peas,3.66,88mm/17.4C,May,Osmana bad
331,6.16,sandy,Beans,1.55,352mm/24.8C,Mar,Kolhapur
332,7.25,sandy,Bottle Gourd,1.08,1111mm/19.4C,Nov,Nanded
333,5.24,red,Cucumber,0.39,1136mm/16.5C,Aug,Wardha
334,5.51,black,Cucumber,0.3,597mm/33.9C,Sep,Pune
335,5.32,alluvial,Coriander,3.92,596mm/29.5C,Apr,Pune
336,5.31,black,Coriander,0.85,768mm/17.4C,Sep,Yavatmal
337,7.51,black,Bottle Gourd,2.45,418mm/31.2C,Sep,Osmana bad
338,7.1,red,Spinach,3.11,466mm/19.6C,Jul,Pune
339,6.48,black,Pumpkin,2.26,585mm/20.6C,Aug,Kolhapur
340,5.46,alluvial,Cucumber,0.33,759mm/18.5C,Mar,Sangli
341,6.53,loam,Beans,3.96,769mm/26.6C,May,Parbhani
342,6.48,sandy,Beans,0.25,702mm/21.4C,Mar,Sangli
343,5.67,loam,Cucumber,3.86,1032mm/32.0C,Jul,Yavatmal
344,6.37,black,Ridge Gourd,4.49,574mm/21.7C,Jun,Nanded
345,6.28,loam,Coriander,2.28,826mm/20.9C,Nov,Beed
346,6.86,alluvial,Cabbage,2.77,424mm/31.8C,Mar,Pune
347,6.91,alluvial,Coriander,2.49,899mm/27.8C,Sep,Wardha
348,5.32,black,Ladyfinger,2.07,667mm/29.9C,Dec,Gadchiroli
349,6.21,red,Radish,4.46,424mm/18.8C,Jan,Latur
350,6.89,loam,Green Chilies,4.49,775mm/26.3C,Oct,Nagpur
351,6.56,red,Spring Onion,1.81,248mm/29.6C,Mar,Solapur
352,7.51,red,Cauliflower,3.15,112mm/25.3C,Nov,Chandrapur
353,6.98,clay,Spring Onion,4.65,472mm/23.8C,Oct,Nagpur
354,5.64,black,Green Peas,4.82,1025mm/17.3C,Nov,Wardha
355,5.39,sandy,Fenugreek Leaves,2.64,1120mm/25.5C,Jul,Ahmednagar
356,6.93,alluvial,Bottle Gourd,2.37,146mm/31.8C,Mar,Latur
357,5.27,alluvial,Bottle Gourd,1.54,914mm/15.9C,Mar,Sangli
358,6.78,black,Cabbage,4.8,316mm/17.6C,Feb,Satara
359,7.74,sandy,Beetroot,0.89,552mm/34.5C,Sep,Beed
360,6.75,alluvial,Radish,2.98,632mm/23.8C,Nov,Sangli
361,6.25,black,Spring Onion,1.56,396mm/30.1C,Apr,Chandrapur
362,6.94,alluvial,Spring Onion,1.54,965mm/19.0C,Oct,Chandrapur
363,6.44,red,Bottle Gourd,2.14,337mm/30.6C,Jun,Sangli
